system,path,name,size,attrhex,attrstr,created,accessed,modified,companyname,filedescription,fileversion,internalname,legalcopyright,originalfilename,productname,productversion,cert_exists,cert_verified,cert_result,cert_comment,cert_signer,cert_type,md5,sha1,sha256
"CrowdResponse","C:\Program Files\7-Zip\","7-zip.dll","101376","0x20","ARCHIVE","2023-06-20T12:00:00Z","2023-10-06T17:44:57Z","2023-06-20T12:00:00Z","Igor Pavlov","7-Zip Shell Extension","23.01","7-zip","Copyright (c) 1999-2023 Igor Pavlov","7-zip.dll","7-Zip","23.01","FALSE","FALSE","TRUST_E_NOSIGNATURE","The file is not signed","","","956d826f03d88c0b5482002bb7a83412","560658185c225d1bd274b6a18372fd7de5f336af","f9b4944d3a5536a6f8b4d5db17d903988a3518b22fbee6e3f6019aaf44189b3d"
"CrowdResponse","C:\Program Files\7-Zip\","7-zip32.dll","66560","0x20","ARCHIVE","2023-06-20T12:00:00Z","2023-09-20T09:08:45Z","2023-06-20T12:00:00Z","Igor Pavlov","7-Zip Shell Extension","23.01","7-zip","Copyright (c) 1999-2023 Igor Pavlov","7-zip.dll","7-Zip","23.01","FALSE","FALSE","TRUST_E_NOSIGNATURE","The file is not signed","","","ce9564f1a1bb9d09693629dcfab40356","f29a70fb365cc6789ec60f9fae9478f36a809902","62ef98b00232f9d63a647e201abfb354582d3fbc342ec63df15b2a0ce514b5a6"
"CrowdResponse","C:\Program Files\7-Zip\","7z.dll","1841664","0x20","ARCHIVE","2023-06-20T12:00:00Z","2023-10-06T17:38:09Z","2023-06-20T12:00:00Z","Igor Pavlov","7z Plugin","23.01","7z","Copyright (c) 1999-2023 Igor Pavlov","7z.dll","7-Zip","23.01","FALSE","FALSE","TRUST_E_NOSIGNATURE","The file is not signed","","","4e35a902ca8ed1c3d4551b1a470c4655","ad9a9b5dbe810a6d7ea2c8430c32417d87c5930c","77222e81cb7004e8c3e077aada02b555a3d38fb05b50c64afd36ca230a8fd5b9"
"CrowdResponse","C:\Program Files\7-Zip\","7z.exe","557056","0x20","ARCHIVE","2023-06-20T12:00:00Z","2023-10-06T12:35:43Z","2023-06-20T12:00:00Z","Igor Pavlov","7-Zip Console","23.01","7z","Copyright (c) 1999-2023 Igor Pavlov","7z.exe","7-Zip","23.01","FALSE","FALSE","TRUST_E_NOSIGNATURE","The file is not signed","","","9a1dd1d96481d61934dcc2d568971d06","f136ef9bf8bd2fc753292fb5b7cf173a22675fb3","8cebb25e240db3b6986fcaed6bc0b900fa09dad763a56fb71273529266c5c525"
"CrowdResponse","C:\Program Files\7-Zip\","7zFM.exe","952832","0x20","ARCHIVE","2023-06-20T12:00:00Z","2023-10-06T16:42:31Z","2023-06-20T12:00:00Z","Igor Pavlov","7-Zip File Manager","23.01","7zFM","Copyright (c) 1999-2023 Igor Pavlov","7zFM.exe","7-Zip","23.01","FALSE","FALSE","TRUST_E_NOSIGNATURE","The file is not signed","","","30ac0b832d75598fb3ec37b6f2a8c86a","6f47dbfd6ff36df7ba581a4cef024da527dc3046","1ea0839c8dc95ad2c060af7d042c40c0daed58ce8e4524c0fba12fd73e4afb74"
"CrowdResponse","C:\Program Files\7-Zip\","7zG.exe","700416","0x20","ARCHIVE","2023-06-20T12:00:00Z","2023-10-06T17:38:13Z","2023-06-20T12:00:00Z","Igor Pavlov","7-Zip GUI","23.01","7zg","Copyright (c) 1999-2023 Igor Pavlov","7zg.exe","7-Zip","23.01","FALSE","FALSE","TRUST_E_NOSIGNATURE","The file is not signed","","","50f289df0c19484e970849aac4e6f977","3dc77c8830836ab844975eb002149b66da2e10be","b9b179b305c5268ad428b6ae59de10b4fe99cf0199bbc89b7017181905e97305"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","InkDiv.dll","356352","0x20","ARCHIVE","2018-09-15T07:28:44Z","2018-09-15T07:28:44Z","2018-09-15T07:28:44Z","Microsoft Corporation","Microsoft Tablet PC Ink Divider Platform Component","10.0.17763.1 (WinBuild.160101.0800)","InkDiv.dll","&#169; Microsoft Corporation. All rights reserved.","InkDiv.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","7b54741a010254d0e11ef170aaae7303","17abca185af89f1ebbd67f7549016f266055287c","f99c3df897769d58f14c80598151347798e1ad576fc8e31f0ec31fbefa7b8880"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","InkObj.dll","1966592","0x20","ARCHIVE","2018-09-15T07:28:44Z","2023-09-18T11:36:17Z","2018-09-15T07:28:44Z","Microsoft Corporation","Microsoft Tablet PC Ink Platform Component","10.0.17763.1 (WinBuild.160101.0800)","InkObj.dll","&#169; Microsoft Corporation. All rights reserved.","InkObj.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","9f28d07a059d07da64bf0d79f54689b0","c25164243dab6d780ed758439fa7ddc629db688d","11776a5b04b41fa45fd8fa1e062ba0f3692b5dbdb04e30943336afbd8e7c8d67"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","InputPersonalization.exe","370688","0x20","ARCHIVE","2018-09-15T07:29:21Z","2023-10-06T12:35:41Z","2018-09-15T07:29:21Z","Microsoft Corporation","Input Personalisation Server","10.0.17763.1 (WinBuild.160101.0800)","InputPersonalization.exe","&#169; Microsoft Corporation. All rights reserved.","InputPersonalization.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","5eb61dd8247ef8bf082cdb3303c8c62e","b1414a40a3a9bfc254a09b87b93d2ae4077e32a1","8aa842d57512f3551adc2d0e9a75383bffd3e62ff79f5ad941c7c36e4194a236"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","IpsMigrationPlugin.dll","42496","0x20","ARCHIVE","2018-09-15T07:29:21Z","2018-09-15T07:29:21Z","2018-09-15T07:29:21Z","Microsoft Corporation","Input Personalization Settings Migration Plugin","10.0.17763.1 (WinBuild.160101.0800)","IpsMigrationPlugin.dll","&#169; Microsoft Corporation. All rights reserved.","IpsMigrationPlugin.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","cb7c36d7c4f4b5aabf6b0f33f2cc9131","865a147a484703cad3b45625aa08544f3b917049","7106d578b0aa7d24ca67cf3921906e36d9fcc12be987d815d492001bb1c9ef9f"
