system,driver_file,driver_base,path,name,size,attrhex,attrstr,created,accessed,modified,companyname,filedescription,fileversion,internalname,legalcopyright,originalfilename,productname,productversion,cert_exists,cert_verified,cert_result,cert_comment,cert_signer,cert_type,md5,sha1,sha256
"CrowdResponse","\SystemRoot\system32\ntoskrnl.exe","0xFFFFF80202604000","C:\Windows\system32\","ntoskrnl.exe","9683256","0x20","ARCHIVE","2019-03-12T06:33:12Z","2023-10-06T17:46:55Z","2019-03-12T06:33:12Z","Microsoft Corporation","NT Kernel & System","10.0.17763.379 (WinBuild.160101.0800)","ntkrnlmp.exe","&#169; Microsoft Corporation. All rights reserved.","ntkrnlmp.exe","Microsoft&#174; Windows&#174; Operating System","10.0.17763.379","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","edd99c48b4c7116f5b22c0e165cba6ff","0e5cd76429bf580e918e002c7cd7c75760a91bf3","0a6a97ce1b5463bc7e3e039bc33137ff2391ef9fdbecbe5508ac82585cc9ca2b"
"CrowdResponse","\SystemRoot\system32\hal.dll","0xFFFFF80203074000","C:\Windows\system32\","hal.dll","566584","0x20","ARCHIVE","2019-03-12T06:33:12Z","2023-10-06T17:46:36Z","2019-03-12T06:33:12Z","Microsoft Corporation","Hardware Abstraction Layer DLL","10.0.17763.194 (WinBuild.160101.0800)","hal.dll","&#169; Microsoft Corporation. All rights reserved.","hal.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.194","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","dedc00e0d4a20a0f5ef0bf574dad67ed","4974b69e01045ef80365a5b5a99256acc1171870","fb846f30bbaad245867c2b1cf09db295999cf3a498ce65f4651107579507b1b1"
"CrowdResponse","\SystemRoot\system32\kd.dll","0xFFFFF80203200000","C:\Windows\system32\","kd.dll","15672","0x20","ARCHIVE","2018-09-15T07:28:46Z","2023-10-06T17:46:42Z","2018-09-15T07:28:46Z","Microsoft Corporation","Local Kernel Debugger","10.0.17763.1 (WinBuild.160101.0800)","kd.dll","&#169; Microsoft Corporation. All rights reserved.","kd.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","c521fea7998d7e837c297a851f15e79a","529f939b12a94e27d1dec3f83a590fc5164ace70","97064a950e5187c9d6ff2982d6d5a506f3d98b1936d0f2d66c00afc00f68f40e"
"CrowdResponse","\SystemRoot\system32\mcupdate_GenuineIntel.dll","0xFFFFF80649330000","C:\Windows\system32\","mcupdate_GenuineIntel.dll","1993528","0x20","ARCHIVE","2023-09-04T09:47:49Z","2023-10-06T17:46:44Z","2023-09-04T09:47:49Z","Microsoft Corporation","Intel Microcode Update Library","10.0.17763.370 (WinBuild.160101.0800)","mcupdate.dll","&#169; Microsoft Corporation. All rights reserved.","mcupdate_GenuineIntel.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.370","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","589d665ad5e508e5c8691994b036bbfd","33f6a7f1442b1880bdd6c521579cc9078a2c1174","57f531e88051eaaf75b3b82d832192021b17a94a508d3b00e2188d8a0ae9d6b5"
"CrowdResponse","\SystemRoot\System32\drivers\msrpc.sys","0xFFFFF80649530000","C:\Windows\System32\drivers\","msrpc.sys","383288","0x20","ARCHIVE","2019-03-12T06:33:18Z","2023-10-06T17:44:24Z","2019-03-12T06:33:18Z","Microsoft Corporation","Kernel Remote Procedure Call Provider","10.0.17763.379 (WinBuild.160101.0800)","krpcdd.sys","&#169; Microsoft Corporation. All rights reserved.","krpcdd.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.379","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","729857abe3319ab32b734e45382f88c3","12a90962d118a4a8ea07ab6c8974126eb77ff495","dd5f0d1b8a75a676ba4c5085fe4f6a7f79b9791fafd98a1583126123e1773763"
"CrowdResponse","\SystemRoot\System32\drivers\ksecdd.sys","0xFFFFF806495A0000","C:\Windows\System32\drivers\","ksecdd.sys","147968","0x20","ARCHIVE","2018-09-15T07:28:46Z","2023-10-06T17:44:23Z","2018-09-15T07:28:46Z","Microsoft Corporation","Kernel Security Support Provider Interface","10.0.17763.1 (WinBuild.160101.0800)","ksecdd.sys","&#169; Microsoft Corporation. All rights reserved.","ksecdd.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","711e26b6f381adc675d8c52cdee505d5","c29270acc9a3c7644ddfa92f805b5c7f2cbfd56e","1fa9473a9db591e951af7bb88914816c441671e4dc6c97eb2649d0104d88247e"
"CrowdResponse","\SystemRoot\System32\drivers\werkernel.sys","0xFFFFF806495D0000","C:\Windows\System32\drivers\","werkernel.sys","49976","0x20","ARCHIVE","2018-09-15T07:28:46Z","2023-09-20T10:23:45Z","2018-09-15T07:28:46Z","Microsoft Corporation","Windows Error Reporting Kernel Driver","10.0.17763.1 (WinBuild.160101.0800)","werkernel","&#169; Microsoft Corporation. All rights reserved.","werkernel.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","a0fd5727a2969d00e7262c9bc0571302","d09de726bf5610f8e14c3868ce4e1ddd91877535","cb6bc8a6207d33b5993623eefa04a8a992ab4fcf205de82eb9fc052229239ff2"
"CrowdResponse","\SystemRoot\System32\drivers\CLFS.SYS","0xFFFFF80648400000","C:\Windows\System32\drivers\","CLFS.SYS","404792","0x20","ARCHIVE","2019-03-12T06:33:03Z","2023-10-06T17:44:21Z","2019-03-12T06:33:03Z","Microsoft Corporation","Common Log File System Driver","10.0.17763.348 (WinBuild.160101.0800)","clfs.sys","&#169; Microsoft Corporation. All rights reserved.","Clfs.Sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.348","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","62dec637fa3bc9d4605301184ac03e0a","66b65cfa6d74dac0b8f922e08d383bf4737613a2","bd3e471b00af3a105b29a752324499123959a4a47e1947392c87c1a325eab7a1"
"CrowdResponse","\SystemRoot\System32\drivers\tm.sys","0xFFFFF80648470000","C:\Windows\System32\drivers\","tm.sys","140808","0x20","ARCHIVE","2019-03-12T06:33:03Z","2023-09-20T10:23:45Z","2019-03-12T06:33:03Z","Microsoft Corporation","Kernel Transaction Manager Driver","10.0.17763.253 (WinBuild.160101.0800)","tm.sys","&#169; Microsoft Corporation. All rights reserved.","tm.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.253","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","62dc096d3f9a0c7a0388db453db1d57b","02a87eae742d5d2a8eb940cc831dd905ab148d99","d1635a77f3c75dcf942d238ffca23468292fa8b47ddad219524e0bfe0fb3b921"
"CrowdResponse","\SystemRoot\system32\PSHED.dll","0xFFFFF806484A0000","C:\Windows\system32\","PSHED.dll","68920","0x20","ARCHIVE","2018-09-15T07:28:46Z","2023-10-06T17:46:58Z","2018-09-15T07:28:46Z","Microsoft Corporation","Platform Specific Hardware Error Driver","10.0.17763.1 (WinBuild.160101.0800)","pshed.dll","&#169; Microsoft Corporation. All rights reserved.","pshed.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","0c06c99faa4cd1d24f3727d1481755b3","b166b6663d0f195fe8d2dfc15675dab78166957e","2e87e7d5f0e15d271e1d86fc036ad0db8567720300fb21b4085f1682b210e168"
