system,level,module,datetime,text
"CrowdResponse","info","PSList","2023-10-06T17:45:10Z","@PSList started"
"CrowdResponse","info","Main","2023-10-06T17:45:10Z","Application Start"
"CrowdResponse","info","PSList","2023-10-06T17:45:17Z","@PSList stopped. Duration 00:00:07.125"
"CrowdResponse","info","Mal","2023-10-06T17:45:17Z","@Mal started"
"CrowdResponse","info","Mal","2023-10-06T17:45:17Z","@Mal stopped. Duration 00:00:00.000"
"CrowdResponse","info","DirList","2023-10-06T17:45:17Z","@DirList started"
"CrowdResponse","info","DirList","2023-10-06T17:46:17Z","@DirList stopped. Duration 00:01:00.282"
"CrowdResponse","info","DirList","2023-10-06T17:46:17Z","@DirList started"
"CrowdResponse","info","DirList","2023-10-06T17:46:17Z","@DirList stopped. Duration 00:00:00.000"
"CrowdResponse","info","DirList","2023-10-06T17:46:17Z","@DirList started"
"CrowdResponse","info","DirList","2023-10-06T17:46:18Z","@DirList stopped. Duration 00:00:00.281"
"CrowdResponse","info","DirList","2023-10-06T17:46:18Z","@DirList started"
"CrowdResponse","info","DirList","2023-10-06T17:47:24Z","@DirList stopped. Duration 00:01:06.625"
"CrowdResponse","info","DirList","2023-10-06T17:47:24Z","@DirList started"
"CrowdResponse","info","DirList","2023-10-06T17:47:24Z","@DirList stopped. Duration 00:00:00.000"
"CrowdResponse","info","DirList","2023-10-06T17:47:24Z","@DirList started"
"CrowdResponse","info","DirList","2023-10-06T17:47:24Z","@DirList stopped. Duration 00:00:00.000"
"CrowdResponse","info","DirList","2023-10-06T17:47:24Z","@DirList started"
"CrowdResponse","info","DirList","2023-10-06T17:47:24Z","@DirList stopped. Duration 00:00:00.000"
"CrowdResponse","info","RegDump","2023-10-06T17:47:24Z","@RegDump started"
"CrowdResponse","info","RegDump","2023-10-06T17:47:25Z","@RegDump stopped. Duration 00:00:00.453"
"CrowdResponse","info","RegDump","2023-10-06T17:47:25Z","@RegDump started"
"CrowdResponse","info","RegDump","2023-10-06T17:47:25Z","@RegDump stopped. Duration 00:00:00.000"
"CrowdResponse","info","RegFile","2023-10-06T17:47:25Z","@RegFile started"
"CrowdResponse","info","RegFile","2023-10-06T17:47:25Z","@RegFile stopped. Duration 00:00:00.000"
"CrowdResponse","info","RegFile","2023-10-06T17:47:25Z","@RegFile started"
"CrowdResponse","info","RegFile","2023-10-06T17:47:25Z","@RegFile stopped. Duration 00:00:00.000"
"CrowdResponse","info","RegFile","2023-10-06T17:47:25Z","@RegFile started"
"CrowdResponse","info","RegFile","2023-10-06T17:47:25Z","@RegFile stopped. Duration 00:00:00.000"
"CrowdResponse","info","Prefetch","2023-10-06T17:47:25Z","@Prefetch started"
"CrowdResponse","info","Prefetch","2023-10-06T17:47:25Z","@Prefetch stopped. Duration 00:00:00.250"
"CrowdResponse","info","Drivers","2023-10-06T17:47:25Z","@Drivers started"
"CrowdResponse","info","Drivers","2023-10-06T17:47:27Z","@Drivers stopped. Duration 00:00:01.984"
"CrowdResponse","info","SuperFetch","2023-10-06T17:47:27Z","@SuperFetch started"
"CrowdResponse","info","SuperFetch","2023-10-06T17:47:27Z","@SuperFetch stopped. Duration 00:00:00.000"
"CrowdResponse","info","Shim","2023-10-06T17:47:27Z","@Shim started"
"CrowdResponse","info","Shim","2023-10-06T17:47:27Z","@Shim stopped. Duration 00:00:00.000"
"CrowdResponse","info","Main","2023-10-06T17:47:27Z","Application Stop"
"CrowdResponse","info","Main","2023-10-06T17:47:27Z","Application Duration: 00:02:17.000"
"CrowdResponse","warning","PSList","2023-10-06T17:45:10Z","No details for PID 88. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:10Z","No details for PID 288. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:10Z","No details for PID 404. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:10Z","No details for PID 480. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:10Z","No details for PID 624. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:11Z","No details for PID 1808. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:11Z","No details for PID 3204. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:12Z","No details for PID 6032. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:12Z","No details for PID 4608. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:12Z","No details for PID 6264. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:12Z","No details for PID 8460. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:12Z","No details for PID 7724. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:12Z","No details for PID 6120. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:12Z","No details for PID 6952. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:12Z","No details for PID 9052. Possibly protected process.\n"
"CrowdResponse","warning","PSList","2023-10-06T17:45:13Z","No details for PID 1716. Possibly protected process.\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
"CrowdResponse","error","Prefetch","2023-10-06T17:47:25Z","File does not contain prefetch signature\n"
