system,pid,parentpid,priority,prioritystr,sessionid,ownersid,ownername,ownerdomain,cmdline,threadinjected,path,name,size,attrhex,attrstr,created,accessed,modified,companyname,filedescription,fileversion,internalname,legalcopyright,originalfilename,productname,productversion,cert_exists,cert_verified,cert_result,cert_comment,cert_signer,cert_type,md5,sha1,sha256,Machine,MachineStr,NumberOfSections,TimeDateStamp,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,CharacteristicsStr,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,MemAddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubSystemVersion,MinorSubSystemVersion,Win32VersionValue,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,SubsystemStr,DllCharacteristics,DllCharacteristicsStr,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,peid,importcount,exportcount,anomalies,CodeEntropy
"CrowdResponse","0","","","","","","","","","error","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowdResponse","4","0","0","0","0","","","","","error","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowdResponse","648","480","32","NORMAL_PRIORITY_CLASS","0","S-1-5-18","SYSTEM","NT AUTHORITY","C:\Windows\system32\lsass.exe","FALSE","C:\Windows\System32\","lsass.exe","57880","0x20","ARCHIVE","2018-09-15T07:28:46Z","2023-10-06T17:44:17Z","2018-09-15T07:28:46Z","Microsoft Corporation","Local Security Authority Process","10.0.17763.1 (WinBuild.160101.0800)","lsass.exe","&#169; Microsoft Corporation. All rights reserved.","lsass.exe","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","568c5cbf9877f6b9e39d1e7ca0ff0a36","0fb26350106c9bdd196d4e7d01eb30007663687c","bbc83e4759d4b82bad31e371ad679aa414c72273bf97cee5aed8337ed8a4d79f","0x8664","AMD64","7","1962-06-03T22:17:30Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0xd","0x4c00","0x7400","0x0","0x36a0","0x1400036a0","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x11000","0x400","0xed7d","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0xc000","0x100000","0x1000","0x0","Unknown: 4883ec28e8630000004883c428e95effffffcccccccccccc","110","4","zero_icons|non_standard_build|contain_eof_data","74.925635"
"CrowdResponse","740","624","32","NORMAL_PRIORITY_CLASS","0","S-1-5-18","SYSTEM","NT AUTHORITY","C:\Windows\system32\svchost.exe -k DcomLaunch -p -s PlugPlay","FALSE","C:\Windows\System32\","svchost.exe","51696","0x20","ARCHIVE","2018-09-15T07:28:45Z","2023-10-06T17:44:20Z","2018-09-15T07:28:45Z","Microsoft Corporation","Host Process for Windows Services","10.0.17763.1 (WinBuild.160101.0800)","svchost.exe","&#169; Microsoft Corporation. All rights reserved.","svchost.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","8a0a29438052faed8a2532da50455756","a1385ce20ad79f55df235effd9780c31442aa234","7fd065bac18c5278777ae44908101cdfed72d26fa741367f0ad4d02020787ab6","0x8664","AMD64","7","1932-04-03T21:00:47Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0xd","0x5600","0x5200","0x0","0x3910","0x140003910","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x10000","0x400","0x130b8","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x4000","0x100000","0x1000","0x0","Unknown: 4883ec28e8870000004883c428e95effffffcccccccccccc","125","","zero_icons|non_standard_build|contain_eof_data","75.383090"
"CrowdResponse","768","480","32","NORMAL_PRIORITY_CLASS","0","S-1-5-96-0-0","UMFD-0","Font Driver Host","""fontdrvhost.exe""","FALSE","C:\Windows\System32\","fontdrvhost.exe","807456","0x20","ARCHIVE","2018-09-15T07:28:47Z","2023-10-06T17:44:01Z","2018-09-15T07:28:47Z","Microsoft Corporation","Usermode Font Driver Host","10.0.17763.1 (WinBuild.160101.0800)","fontdrvhost.exe","&#169; Microsoft Corporation. All rights reserved.","fontdrvhost.exe","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","5708bfddb5e37b98e65d71e404138937","78e20a9cd43af80627c5c239358e8534e849be87","2f12419a7d9d7f2f02688c76063dc081ce08dc79574c485717b38f65de199781","0x8664","AMD64","6","2027-01-20T18:07:18Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0xd","0x9aa00","0x2bc00","0x0","0x2cb40","0x14002cb40","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0xca000","0x400","0xc6e8c","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x2000","0x100000","0x1000","0x0","Unknown: 4883ec28e8370300004883c428e95efeffffcccccccccccc","147","","zero_icons|non_standard_build|contain_eof_data","81.026827"
"CrowdResponse","776","624","32","NORMAL_PRIORITY_CLASS","0","S-1-5-18","SYSTEM","NT AUTHORITY","C:\Windows\system32\svchost.exe -k DcomLaunch -p","FALSE","C:\Windows\System32\","svchost.exe","51696","0x20","ARCHIVE","2018-09-15T07:28:45Z","2023-10-06T17:45:10Z","2018-09-15T07:28:45Z","Microsoft Corporation","Host Process for Windows Services","10.0.17763.1 (WinBuild.160101.0800)","svchost.exe","&#169; Microsoft Corporation. All rights reserved.","svchost.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","8a0a29438052faed8a2532da50455756","a1385ce20ad79f55df235effd9780c31442aa234","7fd065bac18c5278777ae44908101cdfed72d26fa741367f0ad4d02020787ab6","0x8664","AMD64","7","1932-04-03T21:00:47Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0xd","0x5600","0x5200","0x0","0x3910","0x140003910","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x10000","0x400","0x130b8","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x4000","0x100000","0x1000","0x0","Unknown: 4883ec28e8870000004883c428e95effffffcccccccccccc","125","","zero_icons|non_standard_build|contain_eof_data","75.383090"
"CrowdResponse","876","624","32","NORMAL_PRIORITY_CLASS","0","S-1-5-20","NETWORK SERVICE","NT AUTHORITY","C:\Windows\system32\svchost.exe -k RPCSS -p","FALSE","C:\Windows\System32\","svchost.exe","51696","0x20","ARCHIVE","2018-09-15T07:28:45Z","2023-10-06T17:45:10Z","2018-09-15T07:28:45Z","Microsoft Corporation","Host Process for Windows Services","10.0.17763.1 (WinBuild.160101.0800)","svchost.exe","&#169; Microsoft Corporation. All rights reserved.","svchost.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","8a0a29438052faed8a2532da50455756","a1385ce20ad79f55df235effd9780c31442aa234","7fd065bac18c5278777ae44908101cdfed72d26fa741367f0ad4d02020787ab6","0x8664","AMD64","7","1932-04-03T21:00:47Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0xd","0x5600","0x5200","0x0","0x3910","0x140003910","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x10000","0x400","0x130b8","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x4000","0x100000","0x1000","0x0","Unknown: 4883ec28e8870000004883c428e95effffffcccccccccccc","125","","zero_icons|non_standard_build|contain_eof_data","75.383090"
"CrowdResponse","924","624","32","NORMAL_PRIORITY_CLASS","0","S-1-5-18","SYSTEM","NT AUTHORITY","C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM","FALSE","C:\Windows\System32\","svchost.exe","51696","0x20","ARCHIVE","2018-09-15T07:28:45Z","2023-10-06T17:45:10Z","2018-09-15T07:28:45Z","Microsoft Corporation","Host Process for Windows Services","10.0.17763.1 (WinBuild.160101.0800)","svchost.exe","&#169; Microsoft Corporation. All rights reserved.","svchost.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","8a0a29438052faed8a2532da50455756","a1385ce20ad79f55df235effd9780c31442aa234","7fd065bac18c5278777ae44908101cdfed72d26fa741367f0ad4d02020787ab6","0x8664","AMD64","7","1932-04-03T21:00:47Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0xd","0x5600","0x5200","0x0","0x3910","0x140003910","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x10000","0x400","0x130b8","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x4000","0x100000","0x1000","0x0","Unknown: 4883ec28e8870000004883c428e95effffffcccccccccccc","125","","zero_icons|non_standard_build|contain_eof_data","75.383090"
"CrowdResponse","408","624","32","NORMAL_PRIORITY_CLASS","0","S-1-5-19","LOCAL SERVICE","NT AUTHORITY","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","FALSE","C:\Windows\System32\","svchost.exe","51696","0x20","ARCHIVE","2018-09-15T07:28:45Z","2023-10-06T17:45:10Z","2018-09-15T07:28:45Z","Microsoft Corporation","Host Process for Windows Services","10.0.17763.1 (WinBuild.160101.0800)","svchost.exe","&#169; Microsoft Corporation. All rights reserved.","svchost.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","8a0a29438052faed8a2532da50455756","a1385ce20ad79f55df235effd9780c31442aa234","7fd065bac18c5278777ae44908101cdfed72d26fa741367f0ad4d02020787ab6","0x8664","AMD64","7","1932-04-03T21:00:47Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0xd","0x5600","0x5200","0x0","0x3910","0x140003910","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x10000","0x400","0x130b8","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x4000","0x100000","0x1000","0x0","Unknown: 4883ec28e8870000004883c428e95effffffcccccccccccc","125","","zero_icons|non_standard_build|contain_eof_data","75.383090"
"CrowdResponse","1040","624","32","NORMAL_PRIORITY_CLASS","0","S-1-5-19","LOCAL SERVICE","NT AUTHORITY","C:\Windows\system32\svchost.exe -k LocalService -p -s BthAvctpSvc","FALSE","C:\Windows\System32\","svchost.exe","51696","0x20","ARCHIVE","2018-09-15T07:28:45Z","2023-10-06T17:45:10Z","2018-09-15T07:28:45Z","Microsoft Corporation","Host Process for Windows Services","10.0.17763.1 (WinBuild.160101.0800)","svchost.exe","&#169; Microsoft Corporation. All rights reserved.","svchost.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","8a0a29438052faed8a2532da50455756","a1385ce20ad79f55df235effd9780c31442aa234","7fd065bac18c5278777ae44908101cdfed72d26fa741367f0ad4d02020787ab6","0x8664","AMD64","7","1932-04-03T21:00:47Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0xd","0x5600","0x5200","0x0","0x3910","0x140003910","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x10000","0x400","0x130b8","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x4000","0x100000","0x1000","0x0","Unknown: 4883ec28e8870000004883c428e95effffffcccccccccccc","125","","zero_icons|non_standard_build|contain_eof_data","75.383090"
"CrowdResponse","1048","624","32","NORMAL_PRIORITY_CLASS","0","S-1-5-19","LOCAL SERVICE","NT AUTHORITY","C:\Windows\system32\svchost.exe -k LocalService -p -s bthserv","FALSE","C:\Windows\System32\","svchost.exe","51696","0x20","ARCHIVE","2018-09-15T07:28:45Z","2023-10-06T17:45:10Z","2018-09-15T07:28:45Z","Microsoft Corporation","Host Process for Windows Services","10.0.17763.1 (WinBuild.160101.0800)","svchost.exe","&#169; Microsoft Corporation. All rights reserved.","svchost.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","8a0a29438052faed8a2532da50455756","a1385ce20ad79f55df235effd9780c31442aa234","7fd065bac18c5278777ae44908101cdfed72d26fa741367f0ad4d02020787ab6","0x8664","AMD64","7","1932-04-03T21:00:47Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0xd","0x5600","0x5200","0x0","0x3910","0x140003910","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x10000","0x400","0x130b8","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x4000","0x100000","0x1000","0x0","Unknown: 4883ec28e8870000004883c428e95effffffcccccccccccc","125","","zero_icons|non_standard_build|contain_eof_data","75.383090"
"CrowdResponse","1100","624","32","NORMAL_PRIORITY_CLASS","0","S-1-5-18","SYSTEM","NT AUTHORITY","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService","FALSE","C:\Windows\System32\","svchost.exe","51696","0x20","ARCHIVE","2018-09-15T07:28:45Z","2023-10-06T17:45:10Z","2018-09-15T07:28:45Z","Microsoft Corporation","Host Process for Windows Services","10.0.17763.1 (WinBuild.160101.0800)","svchost.exe","&#169; Microsoft Corporation. All rights reserved.","svchost.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","8a0a29438052faed8a2532da50455756","a1385ce20ad79f55df235effd9780c31442aa234","7fd065bac18c5278777ae44908101cdfed72d26fa741367f0ad4d02020787ab6","0x8664","AMD64","7","1932-04-03T21:00:47Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0xd","0x5600","0x5200","0x0","0x3910","0x140003910","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x10000","0x400","0x130b8","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x4000","0x100000","0x1000","0x0","Unknown: 4883ec28e8870000004883c428e95effffffcccccccccccc","125","","zero_icons|non_standard_build|contain_eof_data","75.383090"
