Time,Entry Location,Entry,Enabled,Category,Profile,Description,Signer,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP
06/10/2023 18:18,HKLM\System\CurrentControlSet\Control\Session Manager\BootExecute,,,"Boot Execute",System-wide,,,,,,,,,,,
22/05/1991 08:17,"HKLM\System\CurrentControlSet\Control\Session Manager\BootExecute","autocheck autochk *",enabled,"Boot Execute",System-wide,"Auto Check Utility","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\autochk.exe",10.0.17763.1,"autocheck autochk *",990D01F2A6D10A33C382191A24BBAAAF,2E6C38958917FB86F09026D41337C7460EFBE5F5,26199469AC02EBCABAA9DC6AE5C54331B3F05AC6,E07FE812DBCEFDF0ECBB643B8C38F85DE61697B914649CFD8A44FDF31CF6FEAA,644417B839762A3325920A87C3D955CA974A4EC1D6F008216910267435921255,262DAC4DB20D08B06C59A7F5DBE43E61
06/11/2020 13:22,HKLM\SOFTWARE\Classes\Htmlfile\Shell\Open\Command\(Default),,,"Hijacks",System-wide,,,,,,,,,,,
11/12/1995 05:18,"HKLM\SOFTWARE\Classes\Htmlfile\Shell\Open\Command\(Default)","C:\Program Files\Internet Explorer\iexplore.exe",enabled,"Hijacks",System-wide,"Internet Explorer","(Verified) Microsoft Corporation","Microsoft Corporation","c:\program files\internet explorer\iexplore.exe",11.0.17763.1,"",EAC888C884C5AE875B16E8C714B4D2E6,021415D73D02C6247001BAD6E5C9BC6E220F34FC,386FC0D46EDCC2F75E213D56B449B538DE9A16F8,D62A6A7524CE9610AE65D21332C07583417A42D01BA4035FB9F73FB0915DBA24,FAA971F17A142EBD5518E5B3C55AF0F0C264ADF43644D8CCF972440048620D07,BF1B4238FCDBB117EDF39418CA0D205C
06/10/2023 18:44,HKLM\System\CurrentControlSet\Services,,,"Services",System-wide,,,,,,,,,,,
05/01/1929 11:25,"HKLM\System\CurrentControlSet\Services","AJRouter",enabled,"Services",System-wide,"AllJoyn Router Service: Routes AllJoyn messages for the local AllJoyn clients. If this service is stopped the AllJoyn clients that do not have their own bundled routers will be unable to run.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\ajrouter.dll",10.0.17763.1,"%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p",50137D32AACD4D73AC3BC2BBBED9B135,1CBC9F661DC797DE9DA0435CC87FB8D8A346E929,83041E69C5D4E5D30164E631146B46C6B886EBFB,E0374AAB2AABB99ADCE1DC568E139FD09904736D635FAADA62E2DC3F57866402,F3BD3ABFFC1BF350B61A640954DD31500968D4E66B73B89153CF29345ECBA727,C00C7F5B55838A432154C969539F429A
29/03/1978 03:32,"HKLM\System\CurrentControlSet\Services","ALG",enabled,"Services",System-wide,"Application Layer Gateway Service: Provides support for 3rd party protocol plug-ins for Internet Connection Sharing","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\alg.exe",10.0.17763.1,"%SystemRoot%\System32\alg.exe",E67AEB5F9FA81EE896EC3F0EB837BB12,EE7149A52241AD1285ACED57C56DCB7EA5DA56B3,0F67FEEC1A730E7915E36B89012BA37D0254773A,82C02A543D5A08260A38B2F4DAD58A04A7A6F0D6BEE951EFDBA00E88E4CCF848,0EEFD2619D77D7BAFED95197E0C0EF30147ACADDCD81EB2761EE9893FD55F91B,F718D257CB3A4BBBE8310FA60E7D1DED
14/05/1961 00:54,"HKLM\System\CurrentControlSet\Services","AppIDSvc",enabled,"Services",System-wide,"Application Identity: Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\appidsvc.dll",10.0.17763.1,"%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p",C891C2BE30DF2EF1E3769D4EEDB27A9C,C1AE41FBAF41D6B7AD46AD7225EB4CA5DCB2B97D,86189856F59180F4922F0A1F673FA1F25ADF49E1,D76BE21BC1A1FBEDDEEF179B402223457DB450A1B34BE1979F2555DD81809A07,6A2A2FB3B404A317B7AD068DAC6634B6880E34B0A92CEE9898039182F3500074,76EDB1E39700AEC804889718D9DDDE80
29/10/1947 01:48,"HKLM\System\CurrentControlSet\Services","Appinfo",enabled,"Services",System-wide,"Application Information: Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\appinfo.dll",10.0.17763.1,"%SystemRoot%\system32\svchost.exe -k netsvcs -p",A939CDAB068CF5775E29D8B915042BA2,F5A147687572B60A87514FC739289392F07D8DA1,033ADBE07EF1401CC485CFCDB7CA4092EEEF03CD,EAC1E7DFD8498B7207071E522195078574B42C69CAD3A6B225B1B632A601F904,7E52E1947D487DB772315DCA0FEB463A994142DFE439468DB31E037248BB4BCA,3D06C2586D945A0E8D7CD4EA154D32C0
06/07/1978 00:12,"HKLM\System\CurrentControlSet\Services","AppMgmt",enabled,"Services",System-wide,"Application Management: Processes installation, removal and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\appmgmts.dll",10.0.17763.1,"%SystemRoot%\system32\svchost.exe -k netsvcs -p",785A1493731880AE44C7E6C46CCA004E,53691F701144231EFCC1A8D65B321A0458A62875,3FDDC246172F3F7D7537CFE57490C99D265AEAA8,C9E1583CF3D15FD3875DB7E47C155C6D0FDBC88E6FE42375D2CBBA58E569E760,83422483544CA3FD70EC5E7FD07094EDFAFA38D6C4EA35418D2276F26DC6677E,3F5AD0429209DDFA97214E92C9924088
